"Freq [GHz]","re(S(1 2)) []","im(S(1 2)) []"
8.0174,-0.941334620353444,-0.0707825860413675
8.0175,-0.941177193573428,-0.0699352706650729
8.0176,-0.941015445848046,-0.0690766554532785
8.0177,-0.94084923700276,-0.0682064415866071
8.0178,-0.940678420874217,-0.0673243196906979
8.0179,-0.940502844995078,-0.0664299693697466
8.018,-0.940322350259106,-0.0655230587154573
8.0181,-0.940136770565151,-0.0646032437897331
8.0182,-0.939945932438363,-0.0636701680793116
8.0183,-0.939749654627114,-0.06272346192101
8.0184,-0.939547747673664,-0.0617627418952822
8.0185,-0.939340013456697,-0.0607876101863836
8.0186,-0.939126244703516,-0.0597976539067163
8.0187,-0.938906224469607,-0.0587924443832953
8.0188,-0.93867972558308,-0.0577715364038477
8.0189,-0.938446510051072,-0.0567344674194207
8.019,-0.93820632842532,-0.0556807567013392
8.0191,-0.937958919123482,-0.0546099044489275
8.0192,-0.937704007702684,-0.0535213908447981
8.0193,-0.937441306081396,-0.0524146750541912
8.0194,-0.937170511705359,-0.0512891941644529
8.0195,-0.936891306652917,-0.0501443620605483
8.0196,-0.936603356674663,-0.0489795682321828
8.0197,-0.936306310161713,-0.0477941765074266
8.0198,-0.935999797036589,-0.0465875237080271
8.0199,-0.935683427559932,-0.0453589182205542
8.02,-0.935356791045573,-0.0441076384772118
8.0201,-0.935019454475899,-0.042832931339954
8.0202,-0.934670961008476,-0.0415340103805328
8.0203,-0.934310828364105,-0.0402100540490676
8.0204,-0.933938547085254,-0.0388602037223544
8.0205,-0.93355357865296,-0.0374835616232072
8.0206,-0.93315535344876,-0.0360791886009468
8.0207,-0.932743268546881,-0.0346461017621319
8.0208,-0.932316685320308,-0.0331832719402306
8.0209,-0.931874926842538,-0.031689620991429
8.021,-0.931417275064865,-0.0301640189030474
8.0211,-0.930942967746664,-0.0286052806997017
8.0212,-0.930451195113523,-0.0270121631307041
8.0213,-0.929941096215535,-0.0253833611215331
8.0214,-0.929411754954324,-0.0237175039699872
8.0215,-0.928862195743984,-0.0220131512660212
8.0216,-0.928291378766827,-0.0202687885126769
8.0217,-0.927698194780119,-0.0184828224231557
8.0218,-0.927081459424619,-0.0166535758671071
8.0219,-0.926439906979425,-0.0147792824367431
8.022,-0.925772183500786,-0.0128580805999164
8.0221,-0.925076839274661,-0.0108880074064626
8.0222,-0.924352320503265,-0.00886699170816744
8.0223,-0.923596960135769,-0.00679284685169145
8.0224,-0.922808967741099,-0.00466326279868598
8.0225,-0.921986418306888,-0.00247579762372116
8.0226,-0.92112723983306,-0.000227868336978207
8.0227,-0.920229199569505,0.00208325902772188
8.0228,-0.919289888726757,0.00446048012166032
8.0229,-0.918306705463572,0.00690686385543593
8.023,-0.917276835926674,0.00942566491281273
8.0231,-0.916197233084893,0.0120203372831109
8.0232,-0.915064593061063,0.0146945488975627
8.0233,-0.913875328619931,0.0174521974599829
8.0234,-0.912625539417013,0.0202974275678641
8.0235,-0.91131097855151,0.0232346492249456
8.0236,-0.909927014893186,0.0262685578493375
8.0237,-0.908468590567146,0.0294041558838022
8.0238,-0.906930172878425,0.0326467761156049
8.0239,-0.905305699838264,0.0360021068086284
8.024,-0.903588518310857,0.0394762187433019
8.0241,-0.901771313629708,0.043075594244544
8.0242,-0.899846029330015,0.046807158254421
8.0243,-0.897803775400963,0.0506783114705766
8.0244,-0.895634723173406,0.05469696551506
